Code;PointMax;Libellé
CEF;0.3;Le français ne semble pas être votre tasse de thé ! C'est pourtant indispensable. Si vous êtes effectivement un peu faible dans ce domaine, pensez à vous améliorer dans ce sens.
CEF;0.7;Pas de problème particulier dans ce domaine, vous ne semblez cependant pas être un littéraire chevroné.
CEF;1.0;Vous semblez avoir de très bonnes compétences dans ce domaine. Pensez à mettre cela en avant dans votre CV ou votre portfolio.
CLE;0.3;Les langues ne sont pas votre fort ! Ce n'est pas indispensable de connaitre plusieurs langues. Ceci-dit, connaître un minimum d'anglais est toujours utile. Pensez-y...
CLE;0.7;Vous semblez avoir quelques aptitudes en langues. Vous pouvez les mettre en valeur dans votre CV ou portfolio, en précisant pour chaque langue votre niveau de maîtrise.
CLE;1.0;Vous semblez avoir de bonnes compétences en langues. C'est vraiment un atout. Pensez à mettre cela en avant dans votre CV ou votre portfolio.
CUM;0.3;Les maths vous sont un peu étrangères, n'est-ce pas ? On peut très bien vivre sans, mais sachez tout de même qu'elles sont parfois utiles dans la vie quotidienne...
CUM;0.7;Les maths, ce n'est pas votre vocation mais vous vous y intéressez si besoin. Pourquoi ne pas essayer de valoriser un peu plus vos connaissances dans ce domaine ?
CUM;1.0;Vous semblez avoir de bonnes compétences en maths, c'est peut-être un aspect fort de vos compétences. Pensez à mettre cela en avant dans votre CV ou votre portfolio, et réfléchissez aux applications possibles de cette compétence au regard des autres domaines.
CUN;0.3;Ca ne vous intéresse pas ? Ce n'est pas indispensable pour vivre mais cela peut être utile. Essayer d'avoir un minimum de culture numérique, même si vous n'êtes pas pratiquant chevronné.
CUN;0.7;L'informatique ne vous rend pas allergique ! Vous semblez y porter un certain intérêt, sans être un chevronné. Pensez à ce que vous maîtrisez dans ce domaine, et en quoi cela peut s'appliquer aux besoins actuels pour l'emploi. Valorisez ceci dans votre CV ou votre portfolio.
CUN;1.0;Vous semblez apprécier les technologies. Même si vous pratiquez essentiellement l'informatique ludique, peut-être que vos connaissances peuvent être très utiles dans le milieu professionnel. Elles font de vous quelqu'un de potentiellement créatif avec ces nouveaux outils. Valorisez ceci dans votre CV ou votre portfolio.
AAA;0.5;Vous semblez peu conscient de l'intérêt d'apprendre à apprendre. Pourtant c'est très important. Il existe de nombreuses ressources pour s'informer, se former, se documenter. Essayer d'en parler avec la personne qui vous assiste dans votre parcours, afin de voir comment vous pouvez améliorer votre façon d'apprendre au quotidien.
AAA;1.0;Vous semblez conscient de l'intérêt d'apprendre à apprendre. C'est très important. Cela peut vouloir dire que vous êtes assez autonome et capable d'absorber des connaissances à partir de votre activité. Parlez-en avec la personne qui vous assiste dans votre parcours. Elle pourra vous aider à valoriser ceci dans votre CV ou votre portfolio.
CIS;0.42;Etes-vous un peu renfermé sur vous même ? Peu intéressé par ce qui se passe autour de vous ? C'est ce que semble indiquer vos réponse aux questions. Peut-être devriez-vous plus vous impliquer dans des associations ou autres formes de vie sociale.
CIS;1.0;Vous semblez assez ouvert sur le monde extérieur. Peut-être êtes-vous impliqué dans des associations ou autres formes de vie sociale. Pensez à valoriser ceci dans votre CV ou votre portfolio.
EDE;0.5;Etes-vous entreprenant, au sens du texte ci-dessus ? Savez-vous passer des idées aux actes ? Le test semble dire que vous êtes plutôt en retrait dans ce domaine. Voyez comment les choses peuvent être améliorées, si vous-même pensez que votre test dit vrai.
EDE;1.0;Vous semblez avoir un certain esprit d'entreprise, au sens du texte ci-dessus. Il semble que vous sachiez passer des idées aux actes. Essayer de voir chez vous ce qui peut justifier cela et être valorisé dans le CV ou le portfolio.
ECU;0.42;Est-ce que l'expression culturelle vous concerne vraiment ? Peu semble-t-il. C'est pourtant important. Voyez avec votre accompagnant comment impulser des choses dans ce domaine.
ECU;1.0;Vous semblez avoir un certain intérêt pour l'expression culturelle de façon générale. Voyez précisément quelles de vos activités peuvent être valorisées pour votre vie professionnelle.
